Func,LCFO Mean,LCFO Std,JADE Mean,JADE Std,JADE p,SHADE Mean,SHADE Std,SHADE p,L-SHADE Mean,L-SHADE Std,L-SHADE p,jSO Mean,jSO Std,jSO p,BHO Mean,BHO Std,BHO p,ESTA Mean,ESTA Std,ESTA p,DE Mean,DE Std,DE p,ZOA Mean,ZOA Std,ZOA p,GRO Mean,GRO Std,GRO p,NDO Mean,NDO Std,NDO p,PSO Mean,PSO Std,PSO p,TLBO Mean,TLBO Std,TLBO p,NGO Mean,NGO Std,NGO p,GWO Mean,GWO Std,GWO p,ACO Mean,ACO Std,ACO p,CFO Mean,CFO Std,CFO p,OOA Mean,OOA Std,OOA p,WOO Mean,WOO Std,WOO p,GLO Mean,GLO Std,GLO p,ABC Mean,ABC Std,ABC p,SSA Mean,SSA Std,SSA p,BKA Mean,BKA Std,BKA p,HROA Mean,HROA Std,HROA p,AOO Mean,AOO Std,AOO p,DBA Mean,DBA Std,DBA p,FA Mean,FA Std,FA p,MO Mean,MO Std,MO p,POA Mean,POA Std,POA p,LFO Mean,LFO Std,LFO p,AO Mean,AO Std,AO p,WOA Mean,WOA Std,WOA p,FTO Mean,FTO Std,FTO p,MFO Mean,MFO Std,MFO p,BBO Mean,BBO Std,BBO p,CS Mean,CS Std,CS p
F21,2.38e+03,1.16e+01,2.45e+03,2.30e+01,1.86e-09,2.46e+03,2.82e+01,1.86e-09,2.89e+03,3.59e+01,1.86e-09,2.69e+03,4.81e+01,1.86e-09,2.50e+03,3.52e+01,1.86e-09,2.67e+03,5.63e+01,1.86e-09,2.68e+03,7.02e+01,1.86e-09,2.56e+03,5.14e+01,1.86e-09,2.67e+03,6.72e+01,1.86e-09,2.54e+03,5.30e+01,1.86e-09,2.52e+03,5.85e+01,1.86e-09,2.56e+03,3.60e+01,1.86e-09,2.67e+03,2.77e+01,1.86e-09,2.54e+03,4.66e+01,1.86e-09,2.72e+03,8.39e+01,1.86e-09,2.75e+03,1.01e+02,1.86e-09,2.71e+03,1.79e+01,1.86e-09,2.76e+03,2.08e+01,1.86e-09,2.84e+03,2.74e+01,1.86e-09,2.80e+03,1.77e+01,1.86e-09,2.76e+03,6.95e+01,1.86e-09,2.85e+03,1.27e+02,1.86e-09,2.74e+03,3.13e+01,1.86e-09,2.84e+03,3.68e+01,1.86e-09,2.87e+03,7.56e+01,1.86e-09,3.14e+03,1.22e+02,1.86e-09,2.98e+03,7.60e+01,1.86e-09,3.03e+03,3.77e+01,1.86e-09,3.07e+03,8.07e+01,1.86e-09,3.08e+03,4.70e+01,1.86e-09,3.20e+03,1.01e+02,1.86e-09,3.04e+03,5.25e+01,1.86e-09,3.24e+03,1.37e+02,1.86e-09,3.29e+03,9.03e+01,1.86e-09,3.32e+03,1.79e+02,1.86e-09
F22,9.24e+03,9.43e+02,1.05e+04,4.83e+02,3.73e-09,9.67e+03,1.45e+03,3.80e-04,1.60e+04,6.11e+02,1.86e-09,1.24e+04,1.06e+03,1.86e-09,8.50e+03,3.24e+03,7.77e-01,9.37e+03,1.09e+03,8.71e-01,1.65e+04,5.08e+02,1.86e-09,8.43e+03,3.07e+03,7.30e-01,1.13e+04,6.24e+03,3.93e-01,1.41e+04,1.81e+03,3.73e-09,9.81e+03,1.28e+03,7.32e-02,1.34e+04,5.21e+03,8.86e-05,9.64e+03,3.80e+03,4.04e-01,9.64e+03,2.08e+03,5.84e-01,9.23e+03,2.67e+03,2.99e-01,1.05e+04,9.58e+02,1.06e-05,2.98e+03,3.23e+02,1.86e-09,1.47e+04,2.18e+03,9.31e-09,7.87e+03,5.57e+03,8.71e-01,1.65e+04,6.34e+02,1.86e-09,1.25e+04,1.87e+03,3.24e-06,1.11e+04,1.53e+03,9.31e-09,1.32e+04,8.71e+02,3.73e-09,1.66e+04,4.00e+02,1.86e-09,1.20e+04,8.19e+02,1.86e-09,1.47e+04,8.93e+02,1.86e-09,1.51e+04,8.38e+02,1.86e-09,1.59e+04,5.60e+02,1.86e-09,1.59e+04,6.37e+02,1.86e-09,1.71e+04,4.80e+02,1.86e-09,1.61e+04,8.52e+02,1.86e-09,1.64e+04,4.93e+02,1.86e-09,1.65e+04,9.60e+02,1.86e-09,1.78e+04,4.29e+02,1.86e-09,1.77e+04,1.03e+03,1.86e-09
F23,2.81e+03,1.57e+01,2.90e+03,3.07e+01,1.86e-09,2.94e+03,3.74e+01,1.86e-09,3.59e+03,7.10e+01,1.86e-09,3.18e+03,4.66e+01,1.86e-09,2.99e+03,4.92e+01,1.86e-09,3.28e+03,1.15e+02,1.86e-09,3.05e+03,1.26e+02,1.86e-09,3.17e+03,8.93e+01,1.86e-09,3.05e+03,7.96e+01,1.86e-09,3.03e+03,5.74e+01,1.86e-09,3.29e+03,1.19e+02,1.86e-09,3.14e+03,8.11e+01,1.86e-09,3.13e+03,6.12e+01,1.86e-09,3.04e+03,6.24e+01,1.86e-09,3.19e+03,1.43e+02,1.86e-09,3.38e+03,1.34e+02,1.86e-09,3.16e+03,1.73e+01,1.86e-09,3.24e+03,2.64e+01,1.86e-09,3.25e+03,2.44e+01,1.86e-09,3.22e+03,2.46e+01,1.86e-09,3.39e+03,1.07e+02,1.86e-09,3.84e+03,1.95e+02,1.86e-09,3.34e+03,5.60e+01,1.86e-09,3.33e+03,5.18e+01,1.86e-09,4.33e+03,2.15e+02,1.86e-09,3.91e+03,1.54e+02,1.86e-09,3.84e+03,1.65e+02,1.86e-09,3.42e+03,2.81e+01,1.86e-09,3.90e+03,1.36e+02,1.86e-09,3.92e+03,9.85e+01,1.86e-09,4.40e+03,3.03e+02,1.86e-09,4.06e+03,9.78e+01,1.86e-09,3.73e+03,1.55e+02,1.86e-09,4.92e+03,2.24e+02,1.86e-09,4.97e+03,3.00e+02,1.86e-09
F24,2.98e+03,1.73e+01,3.07e+03,3.03e+01,1.86e-09,3.08e+03,2.92e+01,1.86e-09,3.74e+03,5.68e+01,1.86e-09,3.41e+03,8.07e+01,1.86e-09,3.13e+03,3.34e+01,1.86e-09,3.85e+03,1.75e+02,1.86e-09,3.32e+03,7.77e+01,1.86e-09,3.40e+03,7.76e+01,1.86e-09,3.21e+03,7.26e+01,1.86e-09,3.25e+03,8.34e+01,1.86e-09,3.53e+03,1.78e+02,1.86e-09,3.26e+03,6.83e+01,1.86e-09,3.29e+03,4.36e+01,1.86e-09,3.19e+03,8.39e+01,1.86e-09,3.33e+03,9.09e+01,1.86e-09,3.54e+03,1.19e+02,1.86e-09,3.31e+03,1.85e+01,1.86e-09,3.40e+03,2.96e+01,1.86e-09,3.37e+03,2.81e+01,1.86e-09,3.36e+03,1.96e+01,1.86e-09,3.50e+03,1.26e+02,1.86e-09,3.92e+03,1.69e+02,1.86e-09,3.63e+03,5.83e+01,1.86e-09,3.47e+03,6.36e+01,1.86e-09,4.56e+03,1.94e+02,1.86e-09,3.86e+03,1.23e+02,1.86e-09,3.98e+03,1.79e+02,1.86e-09,3.47e+03,2.33e+01,1.86e-09,4.01e+03,1.80e+02,1.86e-09,4.01e+03,8.97e+01,1.86e-09,4.41e+03,4.02e+02,1.86e-09,3.89e+03,8.59e+01,1.86e-09,3.70e+03,1.25e+02,1.86e-09,4.81e+03,1.42e+02,1.86e-09,5.23e+03,4.33e+02,1.86e-09
F25,3.03e+03,2.76e+01,3.04e+03,3.29e+01,1.98e-01,3.05e+03,3.46e+01,5.49e-02,9.14e+03,1.00e+03,1.86e-09,3.64e+03,2.36e+02,1.86e-09,3.11e+03,3.43e+01,2.05e-07,3.06e+03,2.58e+01,6.29e-05,3.13e+03,7.56e+01,1.86e-09,3.11e+03,2.19e+01,3.73e-09,3.13e+03,4.07e+01,9.31e-09,3.26e+03,8.34e+01,1.86e-09,3.19e+03,1.88e+02,2.61e-08,3.40e+03,1.86e+02,1.86e-09,3.70e+03,2.16e+02,1.86e-09,3.87e+03,3.53e+02,1.86e-09,3.16e+03,2.69e+02,5.05e-04,3.31e+03,1.47e+02,1.86e-09,3.71e+03,1.52e+02,1.86e-09,3.28e+03,3.48e+01,1.86e-09,4.42e+03,4.38e+02,1.86e-09,3.81e+03,1.80e+02,1.86e-09,4.74e+03,5.50e+02,1.86e-09,6.31e+03,2.37e+03,1.86e-09,6.05e+03,5.70e+02,1.86e-09,4.35e+03,3.04e+02,1.86e-09,6.48e+03,4.21e+02,1.86e-09,3.50e+03,1.78e+02,1.86e-09,9.15e+03,1.78e+03,1.86e-09,1.51e+04,3.29e+03,1.86e-09,7.42e+03,9.77e+02,1.86e-09,1.13e+04,1.31e+03,1.86e-09,1.07e+04,1.56e+03,1.86e-09,1.89e+04,2.40e+03,1.86e-09,4.71e+04,1.24e+04,1.86e-09,1.48e+04,1.15e+03,1.86e-09,3.07e+04,9.48e+03,1.86e-09
F26,4.50e+03,1.72e+02,5.47e+03,2.92e+02,1.86e-09,5.74e+03,3.51e+02,1.86e-09,1.26e+04,1.01e+03,1.86e-09,8.96e+03,1.29e+03,1.86e-09,6.01e+03,7.76e+02,3.54e-08,9.13e+03,1.27e+03,1.86e-09,5.74e+03,1.18e+03,9.31e-09,9.40e+03,1.57e+03,3.73e-09,5.80e+03,2.09e+03,2.02e-03,7.05e+03,9.06e+02,3.73e-09,6.25e+03,1.60e+03,9.22e-06,9.58e+03,1.95e+03,3.73e-09,9.80e+03,1.72e+03,1.86e-09,7.01e+03,7.12e+02,1.86e-09,8.85e+03,1.19e+03,1.86e-09,1.09e+04,1.75e+03,1.86e-09,6.78e+03,1.50e+03,3.54e-08,8.36e+03,6.76e+02,1.86e-09,6.83e+03,1.40e+03,1.86e-09,8.64e+03,2.27e+02,1.86e-09,1.07e+04,2.54e+03,1.86e-09,1.32e+04,1.66e+03,1.86e-09,1.11e+04,6.16e+02,1.86e-09,9.11e+03,1.40e+03,1.86e-09,1.30e+04,7.86e+02,1.86e-09,1.49e+04,2.49e+03,3.73e-09,1.47e+04,1.18e+03,1.86e-09,1.09e+04,2.80e+02,1.86e-09,1.48e+04,1.50e+03,1.86e-09,1.44e+04,1.00e+03,1.86e-09,1.70e+04,1.11e+03,1.86e-09,1.85e+04,1.58e+03,1.86e-09,1.43e+04,1.73e+03,1.86e-09,1.85e+04,4.58e+02,1.86e-09,2.61e+04,5.19e+03,1.86e-09
F27,3.33e+03,4.35e+01,3.39e+03,9.01e+01,1.04e-03,3.35e+03,5.78e+01,4.05e-02,4.70e+03,2.07e+02,1.86e-09,3.69e+03,1.92e+02,1.86e-09,3.55e+03,9.71e+01,1.86e-09,3.94e+03,2.52e+02,1.86e-09,3.41e+03,9.73e+01,2.69e-05,3.85e+03,1.23e+02,1.86e-09,3.65e+03,1.66e+02,1.86e-09,3.68e+03,1.11e+02,1.86e-09,3.86e+03,2.74e+02,3.73e-09,3.74e+03,1.72e+02,1.86e-09,3.50e+03,7.01e+01,1.86e-09,3.68e+03,1.12e+02,1.86e-09,3.62e+03,1.39e+02,1.86e-09,3.81e+03,2.25e+02,1.86e-09,3.67e+03,1.03e+02,1.86e-09,3.94e+03,5.85e+01,1.86e-09,3.58e+03,8.52e+01,1.86e-09,3.66e+03,5.39e+01,1.86e-09,4.31e+03,3.85e+02,1.86e-09,4.17e+03,3.00e+02,1.86e-09,4.06e+03,7.05e+01,1.86e-09,3.76e+03,9.34e+01,1.86e-09,6.52e+03,6.07e+02,1.86e-09,4.17e+03,2.58e+02,1.86e-09,4.82e+03,3.33e+02,1.86e-09,3.62e+03,6.34e+01,1.86e-09,4.78e+03,4.44e+02,1.86e-09,3.20e+03,8.50e-05,1.86e-09,6.37e+03,1.16e+03,1.86e-09,3.73e+03,5.39e+02,7.61e-03,4.57e+03,4.46e+02,1.86e-09,7.52e+03,6.36e+02,1.86e-09,7.67e+03,9.15e+02,1.86e-09
F28,3.30e+03,1.80e+01,3.30e+03,2.32e+01,8.87e-01,3.31e+03,1.11e+01,2.45e-01,8.52e+03,5.83e+02,1.86e-09,4.52e+03,4.77e+02,1.86e-09,3.43e+03,4.92e+01,1.86e-09,3.32e+03,3.21e+01,1.75e-02,3.44e+03,7.33e+01,3.73e-09,3.42e+03,4.67e+01,1.86e-09,3.43e+03,4.93e+01,1.86e-09,3.69e+03,1.86e+02,1.86e-09,3.87e+03,7.01e+02,1.86e-09,3.89e+03,2.24e+02,1.86e-09,4.33e+03,2.74e+02,1.86e-09,4.44e+03,3.59e+02,1.86e-09,4.12e+03,8.48e+02,1.86e-09,3.74e+03,2.50e+02,1.86e-09,3.85e+03,1.57e+02,1.86e-09,3.69e+03,7.70e+01,1.86e-09,4.51e+03,5.28e+02,1.86e-09,4.88e+03,4.52e+02,1.86e-09,5.32e+03,6.25e+02,1.86e-09,6.14e+03,1.61e+03,1.86e-09,6.26e+03,4.22e+02,1.86e-09,4.20e+03,2.33e+02,1.86e-09,6.94e+03,3.59e+02,1.86e-09,4.16e+03,3.96e+02,1.86e-09,8.68e+03,8.61e+02,1.86e-09,8.76e+03,2.77e+02,1.86e-09,7.65e+03,5.05e+02,1.86e-09,3.30e+03,1.19e-02,2.80e-01,9.44e+03,1.16e+03,1.86e-09,4.12e+03,1.77e+03,2.99e-03,1.32e+04,2.00e+03,1.86e-09,1.39e+04,1.23e+03,1.86e-09,1.75e+04,3.42e+03,1.86e-09
F29,3.62e+03,1.70e+02,4.07e+03,1.91e+02,4.66e-08,3.96e+03,1.93e+02,6.91e-07,8.59e+03,6.00e+02,1.86e-09,5.51e+03,7.05e+02,1.86e-09,4.39e+03,3.00e+02,9.31e-09,4.69e+03,3.46e+02,1.86e-09,3.88e+03,3.56e+02,7.98e-04,4.85e+03,3.89e+02,1.86e-09,4.74e+03,4.93e+02,3.73e-09,4.42e+03,4.46e+02,1.86e-09,4.41e+03,4.00e+02,1.30e-08,4.94e+03,5.21e+02,9.31e-09,5.16e+03,3.34e+02,1.86e-09,4.87e+03,3.44e+02,1.86e-09,5.22e+03,4.37e+02,1.86e-09,5.38e+03,5.18e+02,1.86e-09,5.75e+03,3.16e+02,1.86e-09,5.51e+03,1.87e+02,1.86e-09,5.88e+03,3.95e+02,1.86e-09,5.95e+03,3.02e+02,1.86e-09,6.99e+03,6.99e+02,1.86e-09,8.61e+03,8.76e+03,1.86e-09,6.04e+03,2.96e+02,1.86e-09,6.66e+03,4.79e+02,1.86e-09,9.11e+03,1.17e+03,1.86e-09,8.58e+03,1.35e+03,1.86e-09,1.12e+04,2.62e+03,1.86e-09,6.58e+03,3.51e+02,1.86e-09,1.20e+04,3.50e+03,1.86e-09,1.05e+04,2.62e+03,1.86e-09,1.64e+04,1.21e+04,1.86e-09,1.93e+04,8.51e+03,1.86e-09,2.63e+04,2.56e+04,1.86e-09,1.12e+05,8.48e+04,1.86e-09,6.57e+05,8.77e+05,1.86e-09
F30,9.00e+05,1.75e+05,9.13e+05,2.50e+05,9.03e-01,8.75e+05,2.07e+05,5.43e-01,7.10e+08,2.23e+08,1.86e-09,5.02e+07,2.74e+07,1.86e-09,2.94e+06,1.07e+06,1.86e-09,1.06e+06,2.25e+05,2.19e-03,1.09e+06,3.15e+05,3.45e-02,2.04e+06,9.89e+05,1.86e-09,5.41e+06,5.03e+06,1.86e-09,7.11e+06,7.14e+06,1.86e-09,1.66e+07,2.67e+07,1.86e-09,1.52e+06,7.10e+05,2.35e-06,2.79e+06,1.02e+06,1.86e-09,1.26e+08,5.24e+07,1.86e-09,2.70e+06,1.51e+06,6.15e-08,2.02e+06,1.12e+06,9.98e-07,1.09e+07,1.01e+07,1.86e-09,2.15e+07,3.91e+06,1.86e-09,2.67e+07,2.10e+07,1.86e-09,4.46e+07,2.24e+07,1.86e-09,2.32e+08,6.89e+07,1.86e-09,2.64e+08,7.78e+08,1.86e-09,1.97e+08,5.45e+07,1.86e-09,5.71e+08,1.52e+08,1.86e-09,3.26e+08,1.50e+08,1.86e-09,2.20e+08,9.19e+07,1.86e-09,8.95e+08,6.11e+08,1.86e-09,4.78e+08,1.66e+08,1.86e-09,7.33e+08,2.58e+08,1.86e-09,2.46e+09,1.32e+09,1.86e-09,1.61e+09,7.91e+08,1.86e-09,3.53e+09,1.37e+09,1.86e-09,4.13e+09,3.64e+09,1.86e-09,7.97e+09,1.86e+09,1.86e-09,1.32e+10,5.61e+09,1.86e-09
