Func,LCFO Mean,LCFO Std,JADE Mean,JADE Std,JADE p,SHADE Mean,SHADE Std,SHADE p,L-SHADE Mean,L-SHADE Std,L-SHADE p,jSO Mean,jSO Std,jSO p
F1,2.42e+03,2.83e+03,4.47e+03,3.96e+03,2.77e-02,4.99e+03,5.38e+03,1.97e-02,5.20e+10,6.42e+09,1.86e-09,6.43e+09,3.37e+09,1.86e-09
F3,2.00e+04,8.08e+03,5.85e+04,6.31e+04,2.69e-05,2.83e+04,8.64e+03,6.08e-04,1.95e+05,2.82e+04,1.86e-09,1.50e+05,5.61e+04,1.86e-09
F4,5.37e+02,5.04e+01,5.24e+02,4.09e+01,2.13e-01,5.19e+02,5.22e+01,9.19e-02,1.22e+04,2.25e+03,1.86e-09,1.18e+03,2.88e+02,1.86e-09
F5,5.86e+02,1.19e+01,6.62e+02,1.62e+01,1.86e-09,6.70e+02,2.10e+01,1.86e-09,1.07e+03,3.67e+01,1.86e-09,9.09e+02,3.93e+01,1.86e-09
F6,6.00e+02,1.48e-01,6.01e+02,9.23e-01,2.05e-07,6.00e+02,3.05e-01,2.89e-01,6.78e+02,5.41e+00,1.86e-09,6.31e+02,6.12e+00,1.86e-09
F7,8.45e+02,1.18e+01,9.86e+02,3.80e+01,1.86e-09,9.56e+02,1.86e+01,1.86e-09,1.86e+03,9.02e+01,1.86e-09,1.39e+03,9.93e+01,1.86e-09
F8,8.82e+02,1.05e+01,9.65e+02,2.70e+01,1.86e-09,9.74e+02,1.93e+01,1.86e-09,1.38e+03,3.36e+01,1.86e-09,1.21e+03,5.03e+01,1.86e-09
F9,9.31e+02,2.40e+01,2.01e+03,9.98e+02,1.86e-09,1.52e+03,4.72e+02,5.59e-09,2.85e+04,3.53e+03,1.86e-09,1.58e+04,4.67e+03,1.86e-09
F10,7.77e+03,3.92e+02,8.62e+03,7.20e+02,6.91e-07,8.34e+03,4.62e+02,3.24e-06,1.43e+04,9.13e+02,1.86e-09,1.08e+04,5.25e+02,1.86e-09
F11,1.30e+03,6.59e+01,1.32e+03,5.61e+01,1.19e-01,1.32e+03,5.24e+01,1.40e-01,1.68e+04,3.27e+03,1.86e-09,5.33e+03,2.98e+03,1.86e-09
F12,4.48e+05,3.76e+05,4.97e+05,7.30e+05,9.52e-01,3.91e+05,3.16e+05,5.43e-01,1.53e+10,3.74e+09,1.86e-09,2.42e+08,1.32e+08,1.86e-09
F13,5.24e+03,2.04e+03,9.87e+03,7.61e+03,6.19e-03,7.63e+03,5.61e+03,7.32e-02,3.80e+09,1.47e+09,1.86e-09,2.68e+07,3.63e+07,1.86e-09
F14,1.63e+03,8.23e+01,3.68e+03,1.83e+03,1.86e-09,3.52e+03,1.96e+03,1.86e-09,4.74e+06,2.21e+06,1.86e-09,1.49e+06,1.14e+06,1.86e-09
F15,2.13e+03,1.95e+02,4.54e+03,3.43e+03,4.42e-06,5.10e+03,5.34e+03,1.60e-05,6.83e+08,3.23e+08,1.86e-09,6.89e+06,1.31e+07,1.86e-09
F16,2.84e+03,2.27e+02,3.07e+03,3.16e+02,2.99e-03,3.10e+03,2.17e+02,1.11e-04,5.83e+03,3.56e+02,1.86e-09,4.32e+03,3.70e+02,1.86e-09
F17,2.58e+03,1.73e+02,2.85e+03,1.49e+02,9.98e-07,2.74e+03,1.92e+02,2.83e-04,4.78e+03,2.90e+02,1.86e-09,3.72e+03,2.26e+02,1.86e-09
F18,1.43e+04,1.38e+04,8.70e+04,1.45e+05,8.01e-08,7.03e+04,4.31e+04,3.73e-09,2.12e+07,9.53e+06,1.86e-09,4.95e+06,4.64e+06,1.86e-09
F19,2.06e+03,4.19e+01,3.76e+03,4.53e+03,6.91e-07,4.43e+03,6.88e+03,1.22e-05,1.87e+08,9.27e+07,1.86e-09,1.44e+06,2.04e+06,1.86e-09
F20,2.81e+03,1.43e+02,3.07e+03,1.51e+02,2.35e-06,2.87e+03,2.02e+02,1.91e-01,4.07e+03,2.00e+02,1.86e-09,3.57e+03,2.35e+02,1.86e-09
