Func,LCFO Mean,LCFO Std,JADE Mean,JADE Std,JADE p,SHADE Mean,SHADE Std,SHADE p,L-SHADE Mean,L-SHADE Std,L-SHADE p,jSO Mean,jSO Std,jSO p
F1,7.66e+06,7.90e+06,6.73e+07,1.19e+08,2.08e-05,9.47e+05,1.41e+06,3.73e-09,1.92e+11,1.39e+10,1.86e-09,1.47e+11,3.08e+10,1.86e-09
F3,1.88e+05,1.03e+05,3.19e+05,1.50e+05,3.45e-05,2.07e+05,3.55e+04,8.72e-04,5.53e+05,9.42e+04,9.31e-09,4.81e+05,1.19e+05,9.31e-09
F4,7.49e+02,4.68e+01,7.98e+02,7.05e+01,5.01e-03,7.47e+02,5.05e+01,8.71e-01,4.51e+04,4.65e+03,1.86e-09,3.13e+04,6.72e+03,1.86e-09
F5,9.02e+02,2.75e+01,1.11e+03,8.43e+01,1.30e-08,1.16e+03,5.94e+01,1.86e-09,1.98e+03,4.85e+01,1.86e-09,1.82e+03,1.10e+02,1.86e-09
F6,6.05e+02,1.88e+00,6.12e+02,4.18e+00,1.02e-07,6.11e+02,2.78e+00,3.73e-09,7.01e+02,5.00e+00,1.86e-09,6.84e+02,1.00e+01,1.86e-09
F7,1.32e+03,4.63e+01,1.79e+03,1.87e+02,1.86e-09,1.77e+03,1.20e+02,1.86e-09,4.16e+03,2.49e+02,1.86e-09,3.79e+03,2.68e+02,1.86e-09
F8,1.19e+03,3.11e+01,1.43e+03,6.83e+01,3.73e-09,1.46e+03,4.91e+01,1.86e-09,2.33e+03,5.84e+01,1.86e-09,2.18e+03,1.00e+02,1.86e-09
F9,4.39e+03,1.30e+03,1.92e+04,6.78e+03,1.86e-09,1.47e+04,4.29e+03,1.86e-09,8.99e+04,6.88e+03,1.86e-09,7.75e+04,1.10e+04,1.86e-09
F10,2.02e+04,7.10e+02,2.27e+04,1.04e+03,3.73e-09,2.17e+04,7.17e+02,5.59e-09,3.25e+04,6.86e+02,1.86e-09,2.86e+04,1.37e+03,1.86e-09
F11,7.21e+03,1.26e+04,9.03e+03,1.84e+04,3.71e-01,4.42e+03,9.73e+02,3.60e-01,1.87e+05,3.95e+04,1.86e-09,1.46e+05,3.97e+04,1.86e-09
F12,6.98e+06,4.03e+06,1.43e+07,1.45e+07,8.72e-04,6.78e+06,6.26e+06,6.12e-01,8.28e+10,9.77e+09,1.86e-09,5.08e+10,1.74e+10,1.86e-09
F13,7.96e+03,3.52e+03,1.16e+04,7.38e+03,4.97e-02,7.36e+03,4.76e+03,2.89e-01,1.52e+10,2.03e+09,1.86e-09,6.10e+09,3.25e+09,1.86e-09
F14,4.45e+04,2.91e+04,1.21e+05,7.34e+04,6.92e-06,1.08e+05,7.43e+04,8.86e-05,3.82e+07,1.26e+07,1.86e-09,2.07e+07,7.62e+06,1.86e-09
F15,3.99e+03,1.83e+03,3.99e+03,2.20e+03,6.12e-01,5.01e+03,3.86e+03,5.84e-01,4.73e+09,1.21e+09,1.86e-09,1.77e+09,1.23e+09,1.86e-09
F16,5.95e+03,5.29e+02,6.62e+03,5.83e+02,6.08e-04,6.57e+03,4.22e+02,2.37e-05,1.41e+04,7.12e+02,1.86e-09,1.22e+04,9.67e+02,1.86e-09
F17,4.71e+03,3.68e+02,5.31e+03,4.29e+02,3.86e-07,5.17e+03,4.45e+02,2.83e-04,3.95e+04,1.82e+04,1.86e-09,1.12e+04,4.01e+03,1.86e-09
F18,1.79e+05,8.40e+04,2.98e+05,1.03e+05,1.23e-04,3.08e+05,1.25e+05,3.45e-05,5.57e+07,1.71e+07,1.86e-09,2.62e+07,1.45e+07,1.86e-09
F19,4.51e+03,2.47e+03,6.88e+03,7.76e+03,2.13e-01,5.67e+03,4.50e+03,5.98e-01,5.02e+09,1.02e+09,1.86e-09,1.64e+09,1.22e+09,1.86e-09
F20,5.39e+03,2.71e+02,5.69e+03,3.50e+02,1.13e-03,5.57e+03,3.63e+02,3.84e-02,7.88e+03,2.84e+02,1.86e-09,7.50e+03,3.55e+02,1.86e-09
F21,2.70e+03,3.44e+01,2.92e+03,7.58e+01,1.86e-09,3.00e+03,5.66e+01,1.86e-09,4.07e+03,6.35e+01,1.86e-09,3.78e+03,9.28e+01,1.86e-09
F22,2.27e+04,8.64e+02,2.52e+04,1.13e+03,1.86e-08,2.40e+04,7.05e+02,8.01e-08,3.49e+04,6.86e+02,1.86e-09,3.11e+04,1.70e+03,1.86e-09
F23,3.14e+03,5.17e+01,3.34e+03,1.11e+02,8.01e-08,3.47e+03,6.60e+01,1.86e-09,5.09e+03,8.41e+01,1.86e-09,4.49e+03,1.85e+02,1.86e-09
F24,3.61e+03,9.44e+01,3.91e+03,1.31e+02,1.86e-09,4.04e+03,1.25e+02,1.86e-09,6.85e+03,2.70e+02,1.86e-09,5.74e+03,3.11e+02,1.86e-09
F25,3.44e+03,5.78e+01,3.44e+03,7.21e+01,9.35e-01,3.40e+03,5.94e+01,4.97e-02,2.18e+04,2.22e+03,1.86e-09,1.63e+04,3.28e+03,1.86e-09
F26,8.68e+03,8.83e+02,1.18e+04,1.68e+03,4.66e-08,1.31e+04,9.03e+02,1.86e-09,3.78e+04,2.07e+03,1.86e-09,2.99e+04,1.98e+03,1.86e-09
F27,3.50e+03,4.65e+01,3.62e+03,1.04e+02,5.72e-07,3.59e+03,7.17e+01,9.98e-07,8.01e+03,3.91e+02,1.86e-09,6.33e+03,7.86e+02,1.86e-09
